#Release 13.2 - par O.61xd (nt64)
K5,flash_addr<21>,IOB,IO_L14N_3/LHCLK7,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K6,flash_addr<20>,IOB,IO_L14P_3/LHCLK6,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K7,swl<4>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
K8,,,GND,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,data_ram1<6>,IOB,IO_L11N_1/A9/RHCLK1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
K13,data_ram1<7>,IOB,IO_L11P_1/A10/RHCLK0,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
K14,data_ram1<8>,IOB,IO_L12N_1/A7/RHCLK3/TRDY1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
K15,data_ram1<9>,IOB,IO_L12P_1/A8/RHCLK2,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
K16,,,GND,,,,,,,,,,,,
K17,,IBUF,IP,UNUSED,,1,,,,,,,,,
K18,,IBUF,IP,UNUSED,,1,,,,,,,,,
L1,flash_addr<19>,IOB,IO_L15P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L2,flash_addr<18>,IOB,IO_L15N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L3,flash_addr<17>,IOB,IO_L16P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L4,flash_addr<16>,IOB,IO_L16N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L5,flash_addr<15>,IOB,IO_L17N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L6,flash_addr<14>,IOB,IO_L17P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L7,,,VCCO_3,,,3,,,,,2.50,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,GND,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCO_1,,,1,,,,,2.50,,,,
L13,,IBUF,IP,UNUSED,,1,,,,,,,,,
L14,,IBUF,IP,UNUSED,,1,,,,,,,,,
L15,data_ram1<10>,IOB,IO_L09N_1/A11,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
L16,data_ram1<11>,IOB,IO_L09P_1/A12,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
L17,data_ram1<12>,IOB,IO_L10N_1/VREF_1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
L18,data_ram1<13>,IOB,IO_L10P_1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
M1,swl<3>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
M2,,,VCCAUX,,,,,,,,2.5,,,,
M3,flash_addr<13>,IOB,IO_L18N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M4,flash_addr<12>,IOB,IO_L18P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M5,flash_addr<11>,IOB,IO_L19P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M6,flash_addr<10>,IOB,IO_L19N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCO_2,,,2,,,,,2.50,,,,
M9,ram2_rw,IOB,IO_L12N_2/D6/GCLK13,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M10,,DIFFM,IO_L16P_2/M0,UNUSED,,2,,,,,,,,,
M11,,,VCCO_2,,,2,,,,,2.50,,,,
M12,,,GND,,,,,,,,,,,,
M13,data_ram1<14>,IOB,IO_L05N_1/VREF_1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
M14,data_ram1<15>,IOB,IO_L05P_1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
M15,ram1_en,IOB,IO_L07P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M16,ram1_oe,IOB,IO_L07N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M17,,,VCCAUX,,,,,,,,2.5,,,,
M18,ram1_rw,IOB,IO_L08N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N1,swl<2>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
N2,swl<1>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
N3,,,VCCO_3,,,3,,,,,2.50,,,,
N4,flash_addr<9>,IOB,IO_L20P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N5,flash_addr<8>,IOB,IO_L20N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N6,,,VCCINT,,,,,,,,1.2,,,,
N7,,DIFFM,IO_L07P_2,UNUSED,,2,,,,,,,,,
N8,,DIFFS,IO_L09N_2,UNUSED,,2,,,,,,,,,
N9,,DIFFM,IO_L12P_2/D7/GCLK12,UNUSED,,2,,,,,,,,,
N10,ram2_en,IOB,IO_L16N_2/DIN/D0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N11,data_ram2<15>,IOB,IO_L18N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
N12,data_ram2<14>,IOB,IO_L21P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,addr_ram2<0>,IOB,IO_L04N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N15,addr_ram2<1>,IOB,IO_L04P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N16,,,VCCO_1,,,1,,,,,2.50,,,,
N17,,IBUF,IP,UNUSED,,1,,,,,,,,,
N18,addr_ram2<2>,IOB,IO_L08P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P1,flash_addr<7>,IOB,IO_L21N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P2,flash_addr<6>,IOB,IO_L21P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P3,flash_addr<5>,IOB,IO_L22P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P4,flash_addr<4>,IOB,IO_L22N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P5,,,VCCINT,,,,,,,,1.2,,,,
P6,,DIFFS,IO_L05N_2,UNUSED,,2,,,,,,,,,
P7,,DIFFS,IO_L07N_2,UNUSED,,2,,,,,,,,,
P8,,DIFFM,IO_L09P_2,UNUSED,,2,,,,,,,,,
P9,,IOB,IO,UNUSED,,2,,,,,,,,,
P10,data_ram2<13>,IOB,IO_L15N_2/D1/GCLK3,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P11,data_ram2<12>,IOB,IO_L18P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P12,data_ram2<11>,IOB,IO_L21N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P13,data_ram2<10>,IOB,IO_L22P_2/A23,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P14,,,VCCINT,,,,,,,,1.2,,,,
P15,,IBUF,IP,UNUSED,,1,,,,,,,,,
P16,addr_ram2<3>,IOB,IO,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P17,addr_ram2<4>,IOB,IO_L06P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P18,addr_ram2<5>,IOB,IO_L06N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R1,swl<0>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
R2,flash_addr<3>,IOB,IO_L23N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R3,flash_addr<2>,IOB,IO_L23P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R4,swr<7>,IBUF,IP/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
R5,,DIFFM,IO_L04P_2,UNUSED,,2,,,,,,,,,
R6,,DIFFM,IO_L05P_2,UNUSED,,2,,,,,,,,,
R7,swr<1>,IBUF,IP_L08N_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
R8,,DIFFM,IO_L10P_2,UNUSED,,2,,,,,,,,,
R9,ram2_oe,IOB,IO/D5,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R10,data_ram2<9>,IOB,IO_L15P_2/D2/GCLK2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
R11,data_ram2<8>,IOB,IO,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
R12,data_ram2<7>,IOB,IO_L20N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
R13,data_ram2<5>,IOB,IO_L22N_2/A22,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
R14,data_ram2<6>,IOB,IO_L24N_2/A20,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
R15,addr_ram2<6>,IOB,IO_L03P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R16,addr_ram2<7>,IOB,IO_L03N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R17,,IBUF,IP,UNUSED,,1,,,,,,,,,
R18,addr_ram2<8>,IOB,IO_L02P_1/A14,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T1,flash_addr<1>,IOB,IO_L24N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T2,,DIFFM,IO_L24P_3,UNUSED,,3,,,,,,,,,
T3,,DIFFS,IO_L01N_2/INIT_B,UNUSED,,2,,,,,,,,,
T4,,DIFFS,IO_L03N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
T5,,DIFFS,IO_L04N_2,UNUSED,,2,,,,,,,,,
T6,,,VCCO_2,,,2,,,,,2.50,,,,
T7,swr<0>,IBUF,IP_L08P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
T8,,DIFFS,IO_L10N_2,UNUSED,,2,,,,,,,,,
T9,,,GND,,,,,,,,,,,,
T10,,DIFFSI,IP_L14N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
T11,,DIFFMI,IP_L17P_2,UNUSED,,2,,,,,,,,,
T12,data_ram2<4>,IOB,IO_L20P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
T13,,,VCCO_2,,,2,,,,,2.50,,,,
T14,data_ram2<3>,IOB,IO_L24P_2/A21,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
T15,data_ram2<2>,IOB,IO/VREF_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
T16,data_ram2<1>,IOB,IO_L26P_2/VS0/A17,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
T17,addr_ram2<9>,IOB,IO_L01N_1/A15,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T18,addr_ram2<10>,IOB,IO_L02N_1/A13,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
U1,swr<6>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
U2,,,GND,,,,,,,,,,,,
U3,,DIFFM,IO_L01P_2/CSO_B,UNUSED,,2,,,,,,,,,
U4,,DIFFM,IO_L03P_2/DOUT/BUSY,UNUSED,,2,,,,,,,,,
U5,wrn,IOB,IO/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
U6,,IOB,IO,UNUSED,,2,,,,,,,,,
U7,,,VCCAUX,,,,,,,,2.5,,,,
U8,swr<2>,IBUF,IP_L11P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
U9,key,IBUF,IO_L13P_2/D4/GCLK14,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
U10,reset,IBUF,IP_L14P_2/RDWR_B/GCLK0,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
U11,,DIFFSI,IP_L17N_2,UNUSED,,2,,,,,,,,,
U12,,,VCCAUX,,,,,,,,2.5,,,,
U13,data_ram2<0>,IOB,IO,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
U14,,DIFFSI,IP_L23N_2,UNUSED,,2,,,,,,,,,
U15,,DIFFS,IO_L25N_2/VS1/A18,UNUSED,,2,,,,,,,,,
U16,addr_ram2<16>,IOB,IO_L26N_2/CCLK,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
U17,,,GND,,,,,,,,,,,,
U18,addr_ram2<11>,IOB,IO_L01P_1/A16,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
V1,,,GND,,,,,,,,,,,,
V2,swr<5>,IBUF,IP,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
V3,swr<4>,IBUF,IP_L02N_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
V4,swr<3>,IBUF,IP_L02P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
V5,,DIFFM,IO_L06P_2,UNUSED,,2,,,,,,,,,
V6,,DIFFS,IO_L06N_2/VREF_2,UNUSED,,2,,,,,,,,,
V7,,IOB,IO,UNUSED,,2,,,,,,,,,
V8,,DIFFSI,IP_L11N_2/VREF_2,UNUSED,,2,,,,,,,,,
V9,addr_ram2<15>,IOB,IO_L13N_2/D3/GCLK15,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
V10,,,VCCO_2,,,2,,,,,2.50,,,,
V11,,IOB,IO/M1,UNUSED,,2,,,,,,,,,
V12,addr_ram2<14>,IOB,IO_L19P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
V13,addr_ram2<13>,IOB,IO_L19N_2/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
V14,,DIFFMI,IP_L23P_2,UNUSED,,2,,,,,,,,,
V15,addr_ram2<12>,IOB,IO_L25P_2/VS2/A19,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
V16,k1,IBUF,IP,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
V17,,,DONE,,,,,,,,,,,,
V18,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#